Origin;Ship to Country code;Ship to simplified postcode 2 digits;Minimum;<=50kg;<=100kg;<=200;<=400;<=800;<=1500;<=5000;<=10000;<=15000;FTL;Carrier Leadtime in working days;Custom Clearance;DG Surcharge per shipment;Distance
FR01;FR;47;19.76;89.076;35.1;25.636;24.336;22.88;18.98;10.296;3.796;2.6;587.6;2;0;0;596.2831817
CH01;NL;87;12.35;56.6995;29.8155;21.073;9.6005;5.5185;4.4915;6.539;7.0785;5.6485;1095.9;2;38;0;920.047325
CH00;NL;87;31.16;143.0572;75.2268;53.1688;24.2228;13.9236;11.3324;16.4984;17.8596;14.2516;2765.04;2;38;0;920.047325
FR01;GB;RM;103.32;442.964;204.18;113.816;78.556;56.744;48.216;35.752;26.732;26.568;5326.72;2;97;0;913.1779337
CH01;GB;NW;63.21;279.3882;140.1714;73.6203;45.7176;28.9476;24.9615;21.4527;19.0533;19.8402;4335.69;2;101;0;906.6557033
CH01;SK;91;40.3;95.7776;61.4606;33.5358;17.9056;10.9182;9.238;5.8714;6.6154;6.7208;1093.06;4;36;0;1117.229972
FR01;FR;35;20.9;94.215;37.125;27.115;25.74;24.2;20.075;10.89;4.015;2.75;621.5;2;0;0;782.8879566
CH01;DK;55;34.16;113.5568;77.2352;53.1216;38.304;24.3376;20.3952;21.7168;14.0672;10.5616;1813.28;3;36;0;1284.339559
CH01;PL;31;34.84;111.7962;83.8974;53.6;35.1348;20.167;31.2086;24.9776;19.4702;13.3866;1737.98;3;33;0;1353.546237
CH01;PL;93;29.25;191.4939;69.03;40.5171;31.3209;18.5094;20.592;22.7097;16.7427;11.5479;1492.92;2;33;0;1394.118123
CH00;DE;60;26.74;127.3588;116.1471;72.1789;56.0776;38.009;28.6691;23.5503;19.291;16.6361;3004.43;2;32;0;577.5575025
CH00;SI;22;50.56;123.7219;72.7274;45.2354;24.0871;16.8112;15.0574;7.6867;8.6979;8.7374;2155.12;4;36;0;915.0976401
CH00;SI;21;59.52;145.6473;85.6158;53.2518;28.3557;19.7904;17.7258;9.0489;10.2393;10.2858;2537.04;4;36;0;0
CH01;DK;56;108.58;360.9484;245.4976;168.8508;121.752;77.3588;64.8276;69.0284;44.7136;33.5708;5763.64;3;36;0;1254.863571
CH01;NO;32;159.34;693.6808;269.173;189.1186;108.6488;82.2244;53.2456;34.968;18.7302;16.4362;3211.6;5;36;0;1767.23907
CH01;AT;27;63.27;343.2312;144.2214;66.2112;46.1016;33.687;32.3874;27.5652;26.4879;22.4352;2511.99;2;36;0;943.8991126
CH01;IT;56;39;158.964;80.0592;23.166;16.7388;11.7468;11.9652;14.5548;17.3472;16.0212;2394.6;4;38;0;562.7259709
CH00;IT;56;43.25;176.287;88.7836;25.6905;18.5629;13.0269;13.2691;16.1409;19.2376;17.7671;2655.55;4;38;0;562.7259709
CH01;NO;02;360.58;1264.5332;573.6202;298.1788;234.5409;124.4895;119.6321;79.2382;45.0129;37.9056;7318.88;5;36;0;1881.721087
CH00;AT;85;82.32;425.2122;175.7091;83.4372;59.8437;45.276;42.7329;34.5303;31.4874;26.5629;2891.49;2;36;0;857.2035523
FR01;FR;91;52.44;236.394;93.15;68.034;64.584;60.72;50.37;27.324;10.074;6.9;1559.4;1;0;0;501.6721853
FR01;DK;56;43.5;148.9788;88.4906;61.277;46.1216;31.7608;26.5466;24.969;15.2134;11.3332;1815.4;3;0;0;1269.142747
CH01;ES;15;98.45;274.9619;120.4133;56.0628;35.8179;18.1506;14.0157;13.246;11.993;9.2364;2287.62;4;38;0;1456.631123
CH01;PL;92;33.5;219.3178;79.06;46.4042;35.8718;21.1988;23.584;26.0094;19.1754;13.2258;1709.84;2;33;0;1406.694748
CH01;PL;91;34.75;227.5013;82.01;48.1357;37.2103;21.9898;24.464;26.9799;19.8909;13.7193;1773.64;2;33;0;1399.273615
CH01;PL;90;26.75;175.1269;63.13;37.0541;28.6439;16.9274;18.832;20.7687;15.3117;10.5609;1365.32;2;33;0;1399.113283
CH01;PL;94;37.75;247.1417;89.09;52.2913;40.4227;23.8882;26.576;29.3091;21.6081;14.9037;1926.76;2;33;0;1393.407708
FR01;SE;36;185.44;749.4094;300.9008;174.887;119.7064;100.894;88.267;64.782;44.0664;37.881;6348.88;5;0;0;1623.62199
FR01;ES;48;133.33;409.542;165.767;87.56;65.272;44.775;36.019;25.472;16.716;12.537;2413.87;4;0;0;952.647126
CH01;GB;FK;78.4;346.528;173.856;91.312;56.704;35.904;30.96;26.608;23.632;24.608;5377.6;3;101;0;1590.643085
FR01;BG;60;163.4;427.918;252.13;140.505;92.245;72.295;61.237;38.171;31.977;30.229;4978;5;0;0;1931.639991
CH01;GB;G5;83.79;370.3518;185.8086;97.5897;60.6024;38.3724;33.0885;28.4373;25.2567;26.2998;5747.31;2;101;0;1563.321439
FR01;ES;17;113.56;345.356;140.781;74.315;55.444;37.742;30.895;21.6265;14.696;10.855;2171;2;0;0;633.2025699
CH00;AT;86;52.08;269.0118;111.1629;52.7868;37.8603;28.644;27.0351;21.8457;19.9206;16.8051;1829.31;2;36;0;883.8484639
FR01;AT;21;137.2;666.0472;264.4628;135.436;103.8016;83.5352;75.8912;55.6248;44.4528;36.8088;3745.56;2;0;0;989.3225656
CH01;NL;42;21.47;98.5699;51.8331;36.6346;16.6901;9.5937;7.8083;11.3678;12.3057;9.8197;1905.18;2;38;0;759.8754904
CH01;NL;43;24.7;113.399;59.631;42.146;19.201;11.037;8.983;13.078;14.157;11.297;2191.8;2;38;0;749.616026
CH01;NL;45;25.65;117.7605;61.9245;43.767;19.9395;11.4615;9.3285;13.581;14.7015;11.7315;2276.1;2;38;0;713.886085
CH01;NL;46;28.12;129.1004;67.8876;47.9816;21.8596;12.5652;10.2268;14.8888;16.1172;12.8612;2495.28;2;38;0;730.3802029
FR01;NO;20;242.88;1049.8028;403.7328;284.0408;168.2496;129.6924;86.1764;55.4208;28.7592;24.8492;4616.56;5;35;0;1930.222197
CH00;IT;32;35;142.66;71.848;20.79;15.022;10.542;10.738;13.062;15.568;14.378;2149;3;38;0;570.3572188
CH00;IT;34;12.75;51.969;26.1732;7.5735;5.4723;3.8403;3.9117;4.7583;5.6712;5.2377;782.85;3;38;0;712.1978365
CH00;IT;39;26.5;108.014;54.3992;15.741;11.3738;7.9818;8.1302;9.8898;11.7872;10.8862;1627.1;3;38;0;499.5413268
CH01;RO;72;67.16;172.061;112.6609;61.0791;35.7554;26.5574;22.4913;13.5707;13.1181;12.9356;2359.36;5;36;0;1847.726317
FR01;BE;25;40.74;192.06;70.3735;48.9947;30.9236;22.892;20.6804;17.169;12.6488;11.349;1626.69;1;0;0;698.9765391
FR01;BE;20;36.12;170.28;62.393;43.4386;27.4168;20.296;18.3352;15.222;11.2144;10.062;1442.22;1;0;0;717.1956518
FR01;BE;21;23.52;110.88;40.628;28.2856;17.8528;13.216;11.9392;9.912;7.3024;6.552;939.12;1;0;0;712.9840274
FR01;BE;23;52.08;245.52;89.962;62.6324;39.5312;29.264;26.4368;21.948;16.1696;14.508;2079.48;1;0;0;723.8076569
FR01;BE;24;26.04;122.76;44.981;31.3162;19.7656;14.632;13.2184;10.974;8.0848;7.254;1039.74;1;0;0;694.7692841
FR01;BE;26;53.34;251.46;92.1385;64.1477;40.4876;29.972;27.0764;22.479;16.5608;14.859;2129.79;1;0;0;705.6225755
FR01;BE;27;71.4;336.6;123.335;85.867;54.196;40.12;36.244;30.09;22.168;19.89;2850.9;1;0;0;0
FR01;BE;29;82.74;390.06;142.9235;99.5047;62.8036;46.492;42.0004;34.869;25.6888;23.049;3303.69;1;0;0;723.9101474
CH01;DK;46;88.33;483.5523;194.7011;85.1235;87.7855;56.0109;55.4059;55.2365;35.2836;26.257;4696.01;3;36;0;1335.443676
CH01;DK;43;48.18;263.7558;106.2006;46.431;47.883;30.5514;30.2214;30.129;19.2456;14.322;2561.46;3;36;0;1355.674872
CH01;DK;40;81.76;447.5856;180.2192;78.792;81.256;51.8448;51.2848;51.128;32.6592;24.304;4346.72;3;36;0;1370.152999
CH01;DK;44;65.7;359.667;144.819;63.315;65.295;41.661;41.211;41.085;26.244;19.53;3492.9;3;36;0;1346.07171
CH01;DK;48;75.19;411.6189;165.7373;72.4605;74.7265;47.6787;47.1637;47.0195;30.0348;22.351;3997.43;3;36;0;1250.83904
CH01;DK;49;48.91;267.7521;107.8097;47.1345;48.6085;31.0143;30.6793;30.5855;19.5372;14.539;2600.27;3;36;0;1245.277224
CH01;RO;05;80.04;205.059;134.2671;72.7929;42.6126;31.6506;26.8047;16.1733;15.6339;15.4164;2811.84;5;36;0;1908.848058
CH01;SE;60;141;575.38;235.99;134.16;87.79;72.58;64.12;49.26;35.44;30.86;5400;5;36;0;1858.619864
FR01;GB;CM;117.18;502.386;231.57;129.084;89.094;64.356;54.684;40.548;30.318;30.132;6041.28;2;97;0;926.9021096
CH00;FR;32;30.82;152.1972;65.9816;48.4008;45.9486;43.2016;35.845;19.4836;7.2226;4.958;1545.02;3;39;0;634.4651406
CH01;SE;97;174.84;711.1476;290.1968;165.8724;109.8014;91.1518;80.3606;61.1094;43.3528;37.6282;6518.9;7;36;0;2859.566323
FR01;DK;46;61.92;320.8968;125.7264;59.1408;60.12;41.3856;39.4272;35.7408;21.672;16.0272;2697.84;8;0;0;1346.90324
FR01;GB;DA;71.19;305.213;140.685;78.422;54.127;39.098;33.222;24.634;18.419;18.306;3670.24;2;97;0;897.1996758
CH01;SE;78;210.09;857.3162;351.6251;199.8984;130.8071;108.1442;95.5388;73.3974;52.8056;45.9814;8046;5;36;0;2051.843702
CH00;DE;25;21.32;108.2564;98.0884;61.0572;47.2484;31.9144;24.6164;20.2212;16.564;14.2844;2579.72;2;32;0;1105.079991
CH01;DE;25;18.33;93.0741;84.3321;52.4943;40.6221;27.4386;21.1641;17.3853;14.241;12.2811;2217.93;2;32;0;1105.079991
CH01;DE;98;12.1;58.1163;59.0722;36.3242;27.8663;18.1742;13.9997;11.9669;10.3455;8.9177;1640.76;2;0;0;713.9695391
CH00;DE;98;5.3;25.4559;25.8746;15.9106;12.2059;7.9606;6.1321;5.2417;4.5315;3.9061;718.68;2;0;0;713.9695391
CH01;SE;13;243.93;995.4074;408.2627;232.0968;151.8767;125.5634;110.9276;85.2198;61.3112;53.3878;9342;5;36;0;2012.461785
CH01;CZ;39;43.32;110.124;66.4164;39.8088;22.0172;15.2608;14.6528;8.3828;8.3676;8.3296;1510.88;4;36;0;895.1259673
CH01;DK;47;59.86;327.6966;131.9462;57.687;59.491;37.9578;37.5478;37.433;23.9112;17.794;3182.42;8;36;0;1292.80189
CH00;DK;47;99.28;543.4968;218.8376;95.676;98.668;62.9544;62.2744;62.084;39.6576;29.512;5278.16;8;36;0;1292.80189
CH01;IT;01;14.25;58.083;29.2524;8.4645;6.1161;4.2921;4.3719;5.3181;6.3384;5.8539;874.95;4;38;0;773.6039771
CH00;IT;01;37.25;151.831;76.4668;22.1265;15.9877;11.2197;11.4283;13.9017;16.5688;15.3023;2287.15;4;38;0;773.6039771
FR01;DK;47;115.24;597.2246;233.9908;110.0676;111.89;77.0232;73.3784;66.5176;40.334;29.8284;5020.98;8;0;0;1304.042519
CH01;AT;90;87.36;451.2456;186.4668;88.5456;63.5076;48.048;45.3492;36.6444;33.4152;28.1892;3068.52;2;36;0;769.1371394
CH01;PL;68;29.12;90.1376;68.2864;43.5792;28.5152;16.3632;25.48;20.272;16.0272;11.0544;1423.52;2;33;0;1080.544233
CH00;GB;SK;55.37;244.7354;122.7858;64.4891;40.0472;25.3572;21.8655;18.7919;16.6901;17.3794;3797.93;2;101;0;1183.715891
CH01;GB;SK;65.17;288.0514;144.5178;75.9031;47.1352;29.8452;25.7355;22.1179;19.6441;20.4554;4470.13;2;101;0;1183.715891
CH00;SE;23;140.36;629.6235;218.7075;147.7168;101.398;69.8049;58.1405;52.9375;36.4815;27.5517;5371.19;5;36;0;1385.472113
CH01;NO;13;319.44;1120.2576;508.1736;264.1584;207.7812;110.286;105.9828;70.1976;39.8772;33.5808;6483.84;5;36;0;1875.385464
CH01;DK;63;75.03;249.4194;169.6416;116.6778;84.132;53.4558;44.7966;47.6994;30.8976;23.1978;3982.74;4;36;0;1204.370706
CH00;GB;PH;63.27;274.7694;136.4634;72.1389;45.4656;29.4261;25.2969;21.2343;18.4815;19.1586;4184.7;4;101;0;1651.661251
FR01;GB;OX;107.73;461.871;212.895;118.674;81.909;59.166;50.274;37.278;27.873;27.702;5554.08;2;97;0;1025.030205
CH01;SE;41;85.84;385.059;133.755;90.3392;62.012;42.6906;35.557;32.375;22.311;16.8498;3284.86;5;36;0;1621.518311
FR01;FR;83;71.44;322.044;126.9;92.684;87.984;82.72;68.62;37.224;13.724;9.4;2124.4;1;0;0;368.0583759
CH01;LV;31;108.8;305.9864;165.2536;93.1464;53.448;37.3116;31.5928;21.9912;19.8832;19.1964;3618.96;6;77;0;0
CH01;GB;BH;51.45;227.409;114.093;59.9235;37.212;23.562;20.3175;17.4615;15.5085;16.149;3529.05;2;101;0;939.9400595
CH01;PL;00;18.46;79.3709;39.3979;17.5938;14.0367;11.2322;10.0891;11.0547;9.1519;7.0077;905.96;2;33;0;1542.787859
FR01;ES;14;62.98;193.452;78.302;41.36;30.832;21.15;17.014;12.032;7.896;5.922;1140.22;4;0;0;1565.435565
FR01;GB;TS;39.06;167.462;77.19;43.028;29.698;21.452;18.228;13.516;10.106;10.044;2013.76;2;97;0;1311.016798
CH01;FR;18;28.75;141.975;61.55;45.15;42.8625;40.3;33.4375;18.175;6.7375;4.625;1441.25;2;39;0;347.5663683
CH01;ES;32;56.18;158.523;69.6526;32.4254;20.8714;10.4198;8.0242;7.6744;6.9324;5.3636;1314.4;4;38;0;1436.4282
CH01;GB;BB;63.7;281.957;141.661;74.594;47.424;30.251;25.155;21.619;19.201;19.994;4369.3;2;101;0;1253.13721
CH01;BG;20;30;70.43;50.1;26.12;14.975;10.57;9.025;6.095;6.545;6.525;1185.5;5;36;0;1775.861913
FR01;IT;10;49.2;196.923;85.485;35.547;29.766;24.969;22.386;18.204;15.744;13.899;1840.08;3;0;0;171.9251749
CH01;TR;42;331.66;662.4989;338.6796;166.9731;78.5197;37.6418;28.1911;30.5739;33.4075;31.8136;6597.78;8;0;0;2852.148733
CH01;GR;57;203;575.5225;281.05;154.3325;104.5275;84.8225;79.2225;73.255;77.245;63.2275;9962.75;7;33;0;0
CH00;IT;45;19.5;79.482;40.0296;11.583;8.3694;5.8734;5.9826;7.2774;8.6736;8.0106;1197.3;4;38;0;569.577313
CH00;SE;80;255.21;1041.4378;427.1419;242.8296;158.8999;131.3698;116.0572;89.1606;64.1464;55.8566;9774;5;36;0;2134.307296
CH01;SE;44;69.6;312.21;108.45;73.248;50.28;34.614;28.83;26.25;18.09;13.662;2663.4;5;36;0;1653.807812
FR01;GB;SO;73.71;316.017;145.665;81.198;56.043;40.482;34.398;25.506;19.071;18.954;3800.16;2;97;0;950.474057
CH01;FI;37;393.76;1226.9155;679.3965;407.4988;226.9149;170.5045;137.2703;87.9219;33.4803;22.2774;4752.94;7;36;0;2455.013521
CH01;GR;41;85.55;247.573;126.933;71.1225;46.342;36.511;36.9605;38.802;44.7325;36.83;5884.1;6;33;0;1837.382015
CH01;PL;60;50.44;156.1312;118.2818;75.4854;49.3924;28.3434;44.135;35.114;27.7614;19.1478;2465.74;2;33;0;1263.084178
CH01;PL;64;44.72;138.4256;104.8684;66.9252;43.7912;25.1292;39.13;31.132;24.6132;16.9764;2186.12;2;33;0;1246.432311
CH00;BG;60;54.6;128.1826;91.182;47.5384;27.2545;19.2374;16.4255;11.0929;11.9119;11.8755;2157.61;5;36;0;1956.586626
FR01;PL;02;113.7626284;444.0724256;198.3750458;116.0940946;77.44541415;55.24001322;47.01418037;35.54444302;27.11484652;22.71945693;4062.998714;4.455720849;0;0;1533.118026
FR01;GB;SL;71.03951321;277.3027434;123.8760645;72.49540632;48.36108835;34.49483987;29.35818674;22.1958649;16.93197076;14.18725274;2537.155259;2.782392115;97;0;957.3614798
FR01;BE;99;54.14399257;211.3510777;94.41428314;55.25362666;36.85923917;26.29083828;22.37584934;16.91696198;12.90499411;10.81305983;1933.736723;2.12064823;0;0;729.6695952
FR01;IT;89;105.2749123;410.9406254;183.5744817;107.4324301;71.66728913;51.11861099;43.50649932;32.89250762;25.0918349;21.02438094;3759.862437;4.123283966;0;0;1418.733621
FR01;FR;80;46.96368448;183.3227448;81.8935286;47.9261644;31.97114946;22.80427754;19.40847504;14.67351828;11.19359771;9.379085401;1677.294137;1.839418367;0;0;632.904428
FR01;HU;43;109.7229195;428.3034217;191.3307515;111.9715954;74.69532887;53.27844134;45.34470766;34.28226048;26.1519988;21.91268942;3918.721702;4.297498281;0;0;1478.677032
FR01;HU;28;83.02545943;324.0898851;144.7767123;84.72699409;56.52067979;40.31488672;34.31156594;25.94080107;19.7887709;16.58095788;2965.229792;3.251843561;0;0;1118.889659
FR01;DE;10;77.60561409;302.9335185;135.3257873;79.19607373;52.83104838;37.68315843;32.07173033;24.24740328;18.49697344;15.49856427;2771.661614;3.039565432;0;0;1045.849305
FR01;DE;02;74.96313525;292.6186022;130.7179308;76.49943958;51.03214595;36.40004315;30.97968474;23.4217768;17.86714966;14.97083662;2677.286262;2.936067928;0;0;1010.238033
FR01;GB;WN;94.29731101;368.0895583;164.4321484;96.22985248;64.19414186;45.7881888;38.9698344;29.46262271;22.47536956;18.83205168;3367.800646;3.693326189;97;0;1270.794367
FR01;GB;LS;92.32461062;360.3891222;160.9922267;94.21672331;62.85119997;44.83029958;38.15458519;28.84626444;22.00518468;18.43808503;3297.346233;3.616061779;97;0;1244.20934
FR01;FR;57;30.03026452;117.2231391;52.36565983;30.6457087;20.44349982;14.58187309;12.41047515;9.382773951;7.157587909;5.997323648;1072.522039;1.176190087;0;0;404.7017945
FR01;FR;29;74.22972612;289.7557397;129.4390392;75.75099987;50.53286798;36.04391979;30.67659198;23.19262756;17.69234466;14.82436798;2651.092771;2.907342622;0;0;1000.354271
FR01;ES;06;117.7867883;459.7807342;205.3922264;120.2007262;80.18491426;57.19403495;48.67722723;36.80176738;28.07398821;23.52311917;4206.720399;4.613334413;0;0;1587.349474
FR01;IT;21;17.52941049;68.42605473;30.5671349;17.88866053;11.93337807;8.511801116;7.244302266;5.476957954;4.178061652;3.500786614;626.0577246;0.686571336;0;0;236.2344786
FR01;NL;82;64.68160047;252.4846307;112.7893724;66.00719368;44.03285514;31.40761176;26.73068014;20.20937363;15.41658886;12.91751832;2310.08428;2.533372865;0;0;871.6792943
FR01;PT;21;129.9922674;507.4248223;226.6756875;132.656346;88.49395559;63.12068094;53.7213318;40.61529526;30.98311308;25.96066707;4642.635483;5.091384264;0;0;1751.83618
FR01;GR;34;149.7797976;584.6654477;261.1804478;152.8494045;101.9645786;72.72896311;61.89883728;46.79778904;35.69938813;29.91242124;5349.341289;5.86639898;0;0;2018.50213
FR01;BG;41;138.0280249;538.7924022;240.688143;140.8567894;93.96440382;67.02262447;57.04223392;43.12601895;32.89840226;27.56548273;4929.630193;5.406119365;0;0;1860.129781
FR01;BE;77;50.53943534;197.2806884;88.12879013;51.57519717;34.40538916;24.54056412;20.88620985;15.79073994;12.04586297;10.09319617;1805.001025;1.979469172;0;0;681.0929076
FR01;BG;15;126.1103029;492.2715739;219.906462;128.694824;85.85125693;61.23570544;52.11704945;39.40239902;30.05786309;25.1854026;4503.992268;4.939340045;0;0;1699.521024
FR01;CZ;43;64.48292792;251.7091124;112.4429346;65.80444951;43.89760618;31.31114182;26.64857561;20.1472996;15.36923609;12.87784156;2302.988749;2.525591492;0;0;869.0018907
FR01;SI;20;64.82858798;253.0583965;113.0456838;66.15719357;44.13291884;31.47898487;26.79142502;20.25529899;15.45162272;12.9468731;2315.333896;2.539129899;0;0;873.6601663
FR01;SK;93;83.842438;327.278961;146.2013292;85.56071593;57.07684876;40.71158912;34.64919508;26.19606107;19.98349432;16.74411612;2994.407941;3.283842017;0;0;1129.899642
FR01;CZ;53;74.39429428;290.3981315;129.7260071;75.91894072;50.64489994;36.12382958;30.74460234;23.24404589;17.7315688;14.85723378;2656.970275;2.913788234;0;0;1002.572068
FR01;MC;98;24.62914353;96.139863;42.94738567;25.13389643;16.76661526;11.95923682;10.17837767;7.695226466;5.870253318;4.918669458;879.6225957;0.964645331;0;0;331.9137791
FR01;IT;95;106.498309;415.7161547;185.7077956;108.6808994;72.50013266;51.71265892;44.01208711;33.27475052;25.3834264;21.26870467;3803.555691;4.171200532;0;0;1435.220684
FR01;DE;46;56.45335513;220.3656746;98.4412638;57.61031761;38.43136829;27.41220143;23.33022943;17.6385083;13.45542101;11.27426106;2016.214926;2.211098628;0;0;760.7916379
FR01;IT;80;78.36172778;305.8850084;136.6442703;79.96768332;53.34578277;38.05030651;32.3842061;24.48364641;18.67718997;15.64956722;2798.665992;3.069180004;0;0;1056.039045
FR01;DE;01;70.95935638;276.9898512;123.73629;72.41360675;48.30652052;34.45591791;29.32506068;22.17082038;16.91286572;14.17124467;2534.292481;2.779252626;0;0;956.2812491
FR01;SE;29;111.4965749;435.2268858;194.4235859;113.7816003;75.90276827;54.13967978;46.07769843;34.83642836;26.57474216;22.26690494;3982.067282;4.366966731;0;0;1502.579637
FR01;PT;62;116.2173021;453.6542445;202.6554146;118.5990747;79.11646573;56.43193546;48.02861255;36.31139092;27.69990772;23.20967814;4150.66666;4.551862621;0;0;1566.198349
FR01;DK;67;94.61521465;369.3304952;164.986497;96.55427128;64.41055897;45.9425541;39.10121304;29.56194977;22.55114057;18.89554;3379.154481;3.705777465;0;0;1275.078584
FR01;GB;GL;79.84115935;311.6599696;139.2240481;81.47743455;54.35292539;38.76867791;32.99560427;24.94588583;19.0298063;15.94502349;2851.503454;3.12712464;97;0;1075.976552
FR01;FR;85;52.73095081;205.8352692;91.9502734;53.81162584;35.8972923;25.60470395;21.79188779;16.47546565;12.56820151;10.53086223;1883.270353;2.065303872;0;0;710.6267881
FR01;RO;41;108.9865791;425.4291169;190.0467484;111.2201643;74.1940554;52.92089463;45.04040351;34.05219539;25.97649515;21.76563538;3892.423522;4.268658166;0;0;1468.753767
FR01;CZ;67;73.53684963;287.0510963;128.230827;75.04392348;50.06118315;35.70747797;30.39024996;22.97614251;17.52720045;14.68599409;2626.346892;2.880204851;0;0;991.0167455
FR01;GB;LN;83.42653493;325.6554833;145.4760928;85.13628929;56.79371724;40.50963799;34.47731665;26.06611468;19.88436557;16.6610564;2979.554085;3.267552415;97;0;1124.294739
FR01;ES;29;123.296751;481.2888739;215.0002948;125.8236108;83.93589426;59.86952178;50.95430525;38.5233218;29.38726477;24.62351007;4403.507092;4.829142153;0;0;1661.604292
FR01;ES;11;131.7769047;514.3911542;229.7876717;134.4775579;89.70887105;63.98725189;54.45886101;41.17289436;31.40847392;26.31707577;4706.373279;5.16128284;0;0;1775.886782
FR01;IT;60;55.18633803;215.4198733;96.23188644;56.31733409;37.56882963;26.79697266;22.80661486;17.24263649;13.15343279;11.02122593;1970.963783;2.161473592;0;0;743.7167269
FR01;PT;25;132.6379034;517.7520625;231.2890492;135.356202;90.29500727;64.40532923;54.81468213;41.44190817;31.61368934;26.48902523;4737.123592;5.195005423;0;0;1787.489999
FR01;DE;32;62.840943;245.2996242;109.5797023;64.12881354;42.77980322;30.51383896;25.96999974;19.63427137;14.97787585;12.54992187;2244.345742;2.461280158;0;0;846.8737392
FR01;BG;97;148.511939;579.7163615;258.969603;151.5555622;101.101467;72.11332572;61.37487493;46.4016543;35.39719933;29.65921806;5304.060092;5.816740984;0;0;2001.415878
FR01;PL;85;103.5111656;404.0558403;180.4989259;105.6325371;70.46659528;50.26218399;42.77760352;32.34143568;24.67145327;20.6721443;3696.870746;4.054203612;0;0;1394.964552
FR01;PL;22;123.1634861;480.7686742;214.7679123;125.6876147;83.84517239;59.80481197;50.89923143;38.48168397;29.35550162;24.59689581;4398.747573;4.823922589;0;0;1659.808351
FR01;PL;73;93.19412633;363.7832769;162.5084559;95.10405899;63.44313429;45.25251257;38.51392612;29.11793935;22.21243011;18.61173542;3328.400731;3.650117948;0;0;1255.927338
FR01;FR;41;37.5394646;146.535302;65.45992403;38.30880332;25.55548711;18.22813476;15.5137692;11.72897796;8.947374333;7.496980876;1340.710905;1.470301605;0;0;505.8992631
FR01;GB;G5;118.1392603;461.1566088;206.0068541;120.5604219;80.42486426;57.36518571;48.82289179;36.91189513;28.15799844;23.59351112;4219.308834;4.627139623;97;0;1592.099551
FR01;SE;37;115.8842017;452.3539874;202.0745666;118.2591478;78.88970328;56.27019108;47.89095365;36.20731575;27.62051466;23.1431549;4138.770081;4.53881614;0;0;1561.709334
FR01;SE;19;151.0961982;589.8040174;263.4759382;154.1927835;102.8607357;73.36817114;62.44286035;47.20909041;36.0131467;30.17531871;5396.356148;5.91795821;0;0;2036.242556
FR01;LT;89;142.707554;557.0589441;248.8481319;145.6322213;97.15005513;69.29487548;58.97612228;44.58810941;34.01374844;28.50002828;5096.758192;5.589401656;0;0;1923.193289
FR01;LT;51;142.0433921;554.4663882;247.6899911;144.954448;96.69791815;68.97237669;58.70164703;44.38059606;33.85544823;28.36738897;5073.037847;5.563388545;0;0;1914.242735
FR01;RS;34;104.2924273;407.1054953;181.8612609;106.42981;70.9984495;50.64154324;43.10047209;32.58553616;24.85766372;20.82816954;3724.773276;4.08480315;84;0;1405.493197
FR01;CZ;69;77.70408138;303.3178856;135.4974909;79.29655903;52.89808129;37.73097145;32.11242347;24.27816879;18.5204427;15.5182291;2775.178345;3.043422083;0;0;1047.176296
FR01;GB;UB;70.26952279;274.2970858;122.5333838;71.70963561;47.83690718;34.12095363;29.03997619;21.95528606;16.74844677;14.03347848;2509.655278;2.752234035;97;0;946.9847312
FR01;FR;24;40.13224088;156.6562043;69.981111;40.9547163;27.32055386;19.48711584;16.58527443;12.53907518;9.565351712;8.014782459;1433.311145;1.571852417;0;0;540.8407207
FR01;IT;46;32.68148438;127.5721759;56.98875856;33.35126301;22.24835281;15.86923276;13.50613311;10.21113151;7.789495072;6.526796959;1167.209574;1.280029948;0;0;440.430865
FR01;ES;41;124.293686;485.1804094;216.7387128;126.8409771;84.6145709;60.35360604;51.36630415;38.83480807;29.62488004;24.82260726;4439.112329;4.868188928;0;0;1675.03945
FR01;ES;01;71.94550147;280.8392686;125.4558931;73.41996202;48.97785184;34.93476293;29.73260052;22.47893543;17.14790927;14.36818704;2569.512362;2.817876797;0;0;969.5709984
FR01;RS;37;108.8603442;424.9363592;189.8266248;111.0913424;74.10811935;52.85959844;44.98823499;34.01275408;25.9464076;21.74042511;3887.915081;4.263713948;84;0;1467.052567
FR01;GB;B7;83.59941806;326.3303327;145.77756;85.31271551;56.91140972;40.5935853;34.5487633;26.12013096;19.92557154;16.69558277;2985.728555;3.274323698;97;0;1126.624592
FR01;FR;66;43.14938423;168.4336235;75.24229349;44.03369337;29.3745141;20.95215792;17.83215597;13.48176331;10.2844752;8.617334098;1541.067529;1.69002434;0;0;581.5011459
FR01;FR;52;21.732876;84.83428257;37.89698193;22.17827241;14.79494282;10.55288872;8.981449944;6.79030525;5.17994007;4.340257845;776.1832554;0.85120773;0;0;292.8823325
FR01;AT;10;71.78067651;280.1958744;125.1684775;73.25175912;48.86564507;34.85472845;29.66448403;22.42743687;17.10862394;14.33526996;2563.625687;2.811421127;0;0;967.3497407
FR01;PT;37;119.3384024;465.8374597;208.0978734;121.7841393;81.24119605;57.9474562;49.31845593;37.28655978;28.44380892;23.83299095;4262.135837;4.674106208;0;0;1608.259746
FR01;HU;94;73.15941678;285.5777871;127.5726736;74.65875547;49.80424074;35.52420692;30.23426995;22.8582159;17.43724091;14.61061723;2612.866989;2.865422004;0;0;985.930285
