Lane ID / -,Dep.shipping point,Ship to Country code,Ship to Country name,Ship to simplified postcode 2 digits,Minimum,<=50kg,<=100kg,<=200,<=400,<=800,<=1500,<=5000,<=10000,<=15000,FTL,Sample shipment (no minimum calculation),Custom Clearance,DG Surcharge per shipment,
CH01-EG-NL-56-,CH,NL,Netherlands,56,18.62 GBP / shipm.,85.49 GBP / 100kg,44.95 GBP / 100kg,31.77 GBP / 100kg,14.47 GBP / 100kg,8.32 GBP / 100kg,6.77 GBP / 100kg,9.86 GBP / 100kg,10.67 GBP / 100kg,8.52 GBP / 100kg,"1,652.28 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-FR-30-,CH,FR,France,30,28.29 GBP / shipm.,139.70 GBP / 100kg,60.57 GBP / 100kg,44.43 GBP / 100kg,42.18 GBP / 100kg,39.66 GBP / 100kg,32.90 GBP / 100kg,17.88 GBP / 100kg,6.63 GBP / 100kg,4.55 GBP / 100kg,"1,418.19 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH01-EG-FR-86-,CH,FR,France,86,15.64 GBP / shipm.,77.23 GBP / 100kg,33.48 GBP / 100kg,24.56 GBP / 100kg,23.32 GBP / 100kg,21.92 GBP / 100kg,18.19 GBP / 100kg,9.89 GBP / 100kg,3.67 GBP / 100kg,2.52 GBP / 100kg,784.04 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH01-EG-ES-47-,CH,ES,Spain,47,54.06 GBP / shipm.,152.54 GBP / 100kg,67.02 GBP / 100kg,31.20 GBP / 100kg,20.08 GBP / 100kg,10.03 GBP / 100kg,7.72 GBP / 100kg,7.38 GBP / 100kg,6.67 GBP / 100kg,5.16 GBP / 100kg,"1,264.80 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-IT-64-,CH,IT,Italy,64,30.00 GBP / shipm.,122.28 GBP / 100kg,61.58 GBP / 100kg,17.82 GBP / 100kg,12.88 GBP / 100kg,9.04 GBP / 100kg,9.20 GBP / 100kg,11.20 GBP / 100kg,13.34 GBP / 100kg,12.32 GBP / 100kg,"1,842.00 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-DE-82-,CH,DE,Germany,82,7.80 GBP / shipm.,37.46 GBP / 100kg,38.08 GBP / 100kg,23.42 GBP / 100kg,17.96 GBP / 100kg,11.72 GBP / 100kg,9.02 GBP / 100kg,7.71 GBP / 100kg,6.67 GBP / 100kg,5.75 GBP / 100kg,"1,057.68 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH01-EG-DK-53-,CH,DK,Denmark,53,89.06 GBP / shipm.,296.06 GBP / 100kg,201.36 GBP / 100kg,138.50 GBP / 100kg,99.86 GBP / 100kg,63.45 GBP / 100kg,53.17 GBP / 100kg,56.62 GBP / 100kg,36.68 GBP / 100kg,27.54 GBP / 100kg,"4,727.48 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-DK-71-,CH,DK,Denmark,71,41.48 GBP / shipm.,137.89 GBP / 100kg,93.79 GBP / 100kg,64.50 GBP / 100kg,46.51 GBP / 100kg,29.55 GBP / 100kg,24.77 GBP / 100kg,26.37 GBP / 100kg,17.08 GBP / 100kg,12.82 GBP / 100kg,"2,201.84 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-DK-82-,CH,DK,Denmark,82,44.53 GBP / shipm.,148.03 GBP / 100kg,100.68 GBP / 100kg,69.25 GBP / 100kg,49.93 GBP / 100kg,31.73 GBP / 100kg,26.59 GBP / 100kg,28.31 GBP / 100kg,18.34 GBP / 100kg,13.77 GBP / 100kg,"2,363.74 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-DE-42-,CH,DE,Germany,42,10.10 GBP / shipm.,48.51 GBP / 100kg,49.31 GBP / 100kg,30.32 GBP / 100kg,23.26 GBP / 100kg,15.17 GBP / 100kg,11.69 GBP / 100kg,9.99 GBP / 100kg,8.64 GBP / 100kg,7.44 GBP / 100kg,"1,369.56 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
FR01-EG-DE-67-,FR01/FRB1,DE,Germany,67,50.75 GBP / shipm.,219.92 GBP / 100kg,135.87 GBP / 100kg,88.15 GBP / 100kg,72.70 GBP / 100kg,55.55 GBP / 100kg,44.17 GBP / 100kg,30.94 GBP / 100kg,20.69 GBP / 100kg,17.15 GBP / 100kg,"2,682.75 GBP / shipm.",64.00 EUR / shipm.,0.00 EUR / shipm.,,
FR01-EG-DE-39-,FR01/FRB1,DE,Germany,39,18.20 GBP / shipm.,75.89 GBP / 100kg,46.97 GBP / 100kg,30.42 GBP / 100kg,25.20 GBP / 100kg,19.24 GBP / 100kg,15.36 GBP / 100kg,10.74 GBP / 100kg,7.23 GBP / 100kg,5.96 GBP / 100kg,927.50 GBP / shipm.,64.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-EG-PL-02-,CH,PL,Poland,02,31.20 GBP / shipm.,134.15 GBP / 100kg,65.68 GBP / 100kg,29.09 GBP / 100kg,22.67 GBP / 100kg,18.32 GBP / 100kg,17.05 GBP / 100kg,18.68 GBP / 100kg,15.47 GBP / 100kg,11.84 GBP / 100kg,"1,531.20 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-HR-31-,CH,HR,Croatia,31,51.35 GBP / shipm.,123.72 GBP / 100kg,82.84 GBP / 100kg,47.88 GBP / 100kg,27.86 GBP / 100kg,19.81 GBP / 100kg,18.91 GBP / 100kg,12.57 GBP / 100kg,11.27 GBP / 100kg,11.23 GBP / 100kg,"2,362.89 GBP / shipm.",81.00 EUR / shipm.,88.00 EUR / shipm.,,
CH00-EG-BG-97-,CH,BG,Bulgaria,97,89.54 GBP / shipm.,211.88 GBP / 100kg,150.19 GBP / 100kg,77.11 GBP / 100kg,44.35 GBP / 100kg,29.95 GBP / 100kg,23.51 GBP / 100kg,15.90 GBP / 100kg,16.87 GBP / 100kg,16.70 GBP / 100kg,"3,038.31 GBP / shipm.",54.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-AT-61-,CH,AT,Austria,61,42.55 GBP / shipm.,230.83 GBP / 100kg,96.99 GBP / 100kg,44.53 GBP / 100kg,31.00 GBP / 100kg,22.66 GBP / 100kg,21.78 GBP / 100kg,18.54 GBP / 100kg,17.81 GBP / 100kg,15.09 GBP / 100kg,"1,689.35 GBP / shipm.",59.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-BG-41-,CH,BG,Bulgaria,41,93.60 GBP / shipm.,219.74 GBP / 100kg,156.31 GBP / 100kg,81.49 GBP / 100kg,46.72 GBP / 100kg,32.98 GBP / 100kg,28.16 GBP / 100kg,19.02 GBP / 100kg,20.42 GBP / 100kg,20.36 GBP / 100kg,"3,698.76 GBP / shipm.",54.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-PL-22-,CH,PL,Poland,22,49.40 GBP / shipm.,152.91 GBP / 100kg,115.84 GBP / 100kg,73.93 GBP / 100kg,48.37 GBP / 100kg,27.76 GBP / 100kg,43.23 GBP / 100kg,34.39 GBP / 100kg,27.19 GBP / 100kg,18.75 GBP / 100kg,"2,414.90 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-SK-93-,CH,SK,Slovakia,93,83.20 GBP / shipm.,197.73 GBP / 100kg,126.89 GBP / 100kg,69.24 GBP / 100kg,36.97 GBP / 100kg,22.54 GBP / 100kg,19.07 GBP / 100kg,12.12 GBP / 100kg,13.66 GBP / 100kg,13.88 GBP / 100kg,"2,256.64 GBP / shipm.",54.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-PL-34-,CH,PL,Poland,34,30.16 GBP / shipm.,93.36 GBP / 100kg,70.73 GBP / 100kg,45.14 GBP / 100kg,29.53 GBP / 100kg,16.95 GBP / 100kg,26.39 GBP / 100kg,21.00 GBP / 100kg,16.60 GBP / 100kg,11.45 GBP / 100kg,"1,474.36 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH01-EG-AT-94-,CH,AT,Austria,94,70.67 GBP / shipm.,383.38 GBP / 100kg,161.09 GBP / 100kg,73.96 GBP / 100kg,51.49 GBP / 100kg,37.63 GBP / 100kg,36.18 GBP / 100kg,30.79 GBP / 100kg,29.59 GBP / 100kg,25.06 GBP / 100kg,"2,805.79 GBP / shipm.",59.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-PL-99-,CH,PL,Poland,99,19.00 GBP / shipm.,124.39 GBP / 100kg,44.84 GBP / 100kg,26.32 GBP / 100kg,20.35 GBP / 100kg,12.02 GBP / 100kg,13.38 GBP / 100kg,14.75 GBP / 100kg,10.88 GBP / 100kg,7.50 GBP / 100kg,969.76 GBP / shipm.,49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH01-EG-AT-67-,CH,AT,Austria,67,22.57 GBP / shipm.,122.44 GBP / 100kg,51.45 GBP / 100kg,23.62 GBP / 100kg,16.45 GBP / 100kg,12.02 GBP / 100kg,11.55 GBP / 100kg,9.83 GBP / 100kg,9.45 GBP / 100kg,8.00 GBP / 100kg,896.09 GBP / shipm.,59.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-PL-43-,CH,PL,Poland,43,20.28 GBP / shipm.,87.20 GBP / 100kg,42.69 GBP / 100kg,18.91 GBP / 100kg,14.73 GBP / 100kg,11.91 GBP / 100kg,11.08 GBP / 100kg,12.14 GBP / 100kg,10.05 GBP / 100kg,7.70 GBP / 100kg,995.28 GBP / shipm.,49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH04-EG-RO-10-,CH,RO,Romania,10,113.52 GBP / shipm.,283.54 GBP / 100kg,191.20 GBP / 100kg,102.37 GBP / 100kg,58.69 GBP / 100kg,44.19 GBP / 100kg,41.02 GBP / 100kg,25.71 GBP / 100kg,25.77 GBP / 100kg,25.90 GBP / 100kg,"4,656.04 GBP / shipm.",53.00 EUR / shipm.,36.00 EUR / shipm.,,
FR01-EG-HR-31-,FR01/FRB1,HR,Croatia,31,115.52 GBP / shipm.,310.70 GBP / 100kg,176.67 GBP / 100kg,106.35 GBP / 100kg,69.69 GBP / 100kg,54.28 GBP / 100kg,49.40 GBP / 100kg,30.84 GBP / 100kg,23.12 GBP / 100kg,22.02 GBP / 100kg,"4,228.64 GBP / shipm.",75.00 EUR / shipm.,0.00 EUR / shipm.,,
FR01-EG-IT-20-,FR01/FRB1,IT,Italy,20,56.80 GBP / shipm.,227.34 GBP / 100kg,98.69 GBP / 100kg,41.04 GBP / 100kg,34.36 GBP / 100kg,28.83 GBP / 100kg,25.84 GBP / 100kg,21.02 GBP / 100kg,18.18 GBP / 100kg,16.05 GBP / 100kg,"2,124.32 GBP / shipm.",49.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-EG-PT-37-,CH,PT,Portugal,37,75.36 GBP / shipm.,340.19 GBP / 100kg,136.89 GBP / 100kg,59.49 GBP / 100kg,52.85 GBP / 100kg,37.85 GBP / 100kg,34.48 GBP / 100kg,35.92 GBP / 100kg,36.28 GBP / 100kg,30.85 GBP / 100kg,"6,245.46 GBP / shipm.",65.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-80-,CH,FR,France,80,38.87 GBP / shipm.,191.95 GBP / 100kg,83.22 GBP / 100kg,61.04 GBP / 100kg,57.95 GBP / 100kg,54.49 GBP / 100kg,45.21 GBP / 100kg,24.57 GBP / 100kg,9.11 GBP / 100kg,6.25 GBP / 100kg,"1,948.57 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH01-EG-ES-43-,CH,ES,Spain,43,87.98 GBP / shipm.,248.25 GBP / 100kg,109.08 GBP / 100kg,50.78 GBP / 100kg,32.69 GBP / 100kg,16.32 GBP / 100kg,12.57 GBP / 100kg,12.02 GBP / 100kg,10.86 GBP / 100kg,8.40 GBP / 100kg,"2,058.40 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-DE-66-,CH,DE,Germany,66,13.50 GBP / shipm.,64.84 GBP / 100kg,65.91 GBP / 100kg,40.53 GBP / 100kg,31.09 GBP / 100kg,20.28 GBP / 100kg,15.62 GBP / 100kg,13.35 GBP / 100kg,11.54 GBP / 100kg,9.95 GBP / 100kg,"1,830.60 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-GR-19-,CH,GR,Greece,19,41.89 GBP / shipm.,121.23 GBP / 100kg,62.15 GBP / 100kg,34.83 GBP / 100kg,22.69 GBP / 100kg,17.88 GBP / 100kg,18.10 GBP / 100kg,19.00 GBP / 100kg,21.90 GBP / 100kg,18.03 GBP / 100kg,"2,881.18 GBP / shipm.",70.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-IT-43-,CH,IT,Italy,43,47.00 GBP / shipm.,191.57 GBP / 100kg,96.48 GBP / 100kg,27.92 GBP / 100kg,20.17 GBP / 100kg,14.16 GBP / 100kg,14.42 GBP / 100kg,17.54 GBP / 100kg,20.91 GBP / 100kg,19.31 GBP / 100kg,"2,885.80 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-94-,CH,FR,France,94,40.25 GBP / shipm.,198.77 GBP / 100kg,86.17 GBP / 100kg,63.21 GBP / 100kg,60.01 GBP / 100kg,56.42 GBP / 100kg,46.81 GBP / 100kg,25.45 GBP / 100kg,9.43 GBP / 100kg,6.48 GBP / 100kg,"2,017.75 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-PT-26-,CH,PT,Portugal,26,96.00 GBP / shipm.,433.36 GBP / 100kg,174.38 GBP / 100kg,75.78 GBP / 100kg,67.32 GBP / 100kg,48.22 GBP / 100kg,43.92 GBP / 100kg,45.76 GBP / 100kg,46.22 GBP / 100kg,39.30 GBP / 100kg,"7,956.00 GBP / shipm.",65.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-NL-52-,CH,NL,Netherlands,52,30.97 GBP / shipm.,142.18 GBP / 100kg,74.77 GBP / 100kg,52.84 GBP / 100kg,24.08 GBP / 100kg,13.84 GBP / 100kg,11.26 GBP / 100kg,16.40 GBP / 100kg,17.75 GBP / 100kg,14.16 GBP / 100kg,"2,748.18 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-57-,CH,FR,France,57,21.85 GBP / shipm.,107.90 GBP / 100kg,46.78 GBP / 100kg,34.31 GBP / 100kg,32.58 GBP / 100kg,30.63 GBP / 100kg,25.41 GBP / 100kg,13.81 GBP / 100kg,5.12 GBP / 100kg,3.52 GBP / 100kg,"1,095.35 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-IT-37-,CH,IT,Italy,37,43.75 GBP / shipm.,178.33 GBP / 100kg,89.81 GBP / 100kg,25.99 GBP / 100kg,18.78 GBP / 100kg,13.18 GBP / 100kg,13.42 GBP / 100kg,16.33 GBP / 100kg,19.46 GBP / 100kg,17.97 GBP / 100kg,"2,686.25 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-60-,CH,IT,Italy,60,49.50 GBP / shipm.,201.76 GBP / 100kg,101.61 GBP / 100kg,29.40 GBP / 100kg,21.25 GBP / 100kg,14.91 GBP / 100kg,15.19 GBP / 100kg,18.47 GBP / 100kg,22.02 GBP / 100kg,20.33 GBP / 100kg,"3,039.30 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-IT-48-,CH,IT,Italy,48,21.75 GBP / shipm.,88.65 GBP / 100kg,44.65 GBP / 100kg,12.92 GBP / 100kg,9.34 GBP / 100kg,6.55 GBP / 100kg,6.67 GBP / 100kg,8.12 GBP / 100kg,9.67 GBP / 100kg,8.93 GBP / 100kg,"1,335.45 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-IT-80-,CH,IT,Italy,80,24.75 GBP / shipm.,100.88 GBP / 100kg,50.81 GBP / 100kg,14.70 GBP / 100kg,10.62 GBP / 100kg,7.45 GBP / 100kg,7.59 GBP / 100kg,9.24 GBP / 100kg,11.01 GBP / 100kg,10.17 GBP / 100kg,"1,519.65 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-FR-54-,CH,FR,France,54,17.48 GBP / shipm.,86.32 GBP / 100kg,37.42 GBP / 100kg,27.45 GBP / 100kg,26.06 GBP / 100kg,24.50 GBP / 100kg,20.33 GBP / 100kg,11.05 GBP / 100kg,4.10 GBP / 100kg,2.81 GBP / 100kg,876.28 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH01-EG-NL-44-,CH,NL,Netherlands,44,11.97 GBP / shipm.,54.95 GBP / 100kg,28.90 GBP / 100kg,20.42 GBP / 100kg,9.31 GBP / 100kg,5.35 GBP / 100kg,4.35 GBP / 100kg,6.34 GBP / 100kg,6.86 GBP / 100kg,5.47 GBP / 100kg,"1,062.18 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-BE-88-,CH,BE,Belgium,88,30.24 GBP / shipm.,158.39 GBP / 100kg,61.04 GBP / 100kg,41.87 GBP / 100kg,20.98 GBP / 100kg,12.29 GBP / 100kg,12.24 GBP / 100kg,13.83 GBP / 100kg,12.73 GBP / 100kg,11.97 GBP / 100kg,"1,929.76 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH00-EG-DK-75-,CH,DK,Denmark,75,108.58 GBP / shipm.,360.95 GBP / 100kg,245.50 GBP / 100kg,168.85 GBP / 100kg,121.75 GBP / 100kg,77.36 GBP / 100kg,64.83 GBP / 100kg,69.03 GBP / 100kg,44.71 GBP / 100kg,33.57 GBP / 100kg,"5,763.64 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-DE-10-,CH,DE,Germany,10,22.75 GBP / shipm.,115.52 GBP / 100kg,104.67 GBP / 100kg,65.15 GBP / 100kg,50.42 GBP / 100kg,34.06 GBP / 100kg,26.27 GBP / 100kg,21.58 GBP / 100kg,17.68 GBP / 100kg,15.24 GBP / 100kg,"2,752.75 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-SE-58-,CH,SE,Sweden,58,218.08 GBP / shipm.,978.26 GBP / 100kg,339.81 GBP / 100kg,229.51 GBP / 100kg,157.54 GBP / 100kg,108.46 GBP / 100kg,90.33 GBP / 100kg,82.25 GBP / 100kg,56.68 GBP / 100kg,42.81 GBP / 100kg,"8,345.32 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-NL-32-,CH,NL,Netherlands,32,36.67 GBP / shipm.,168.35 GBP / 100kg,88.53 GBP / 100kg,62.57 GBP / 100kg,28.51 GBP / 100kg,16.39 GBP / 100kg,13.34 GBP / 100kg,19.42 GBP / 100kg,21.02 GBP / 100kg,16.77 GBP / 100kg,"3,253.98 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-03-,CH,IT,Italy,03,48.25 GBP / shipm.,196.67 GBP / 100kg,99.05 GBP / 100kg,28.66 GBP / 100kg,20.71 GBP / 100kg,14.53 GBP / 100kg,14.80 GBP / 100kg,18.01 GBP / 100kg,21.46 GBP / 100kg,19.82 GBP / 100kg,"2,962.55 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-67-,CH,FR,France,67,32.20 GBP / shipm.,159.01 GBP / 100kg,68.94 GBP / 100kg,50.57 GBP / 100kg,48.01 GBP / 100kg,45.14 GBP / 100kg,37.45 GBP / 100kg,20.36 GBP / 100kg,7.55 GBP / 100kg,5.18 GBP / 100kg,"1,614.20 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-AT-12-,CH,AT,Austria,12,40.70 GBP / shipm.,220.79 GBP / 100kg,92.77 GBP / 100kg,42.59 GBP / 100kg,29.66 GBP / 100kg,21.67 GBP / 100kg,20.83 GBP / 100kg,17.73 GBP / 100kg,17.04 GBP / 100kg,14.43 GBP / 100kg,"1,615.90 GBP / shipm.",59.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-HR-42-,CH,HR,Croatia,42,57.95 GBP / shipm.,137.66 GBP / 100kg,86.33 GBP / 100kg,47.49 GBP / 100kg,26.09 GBP / 100kg,18.68 GBP / 100kg,18.11 GBP / 100kg,13.05 GBP / 100kg,12.31 GBP / 100kg,12.37 GBP / 100kg,"2,546.00 GBP / shipm.",81.00 EUR / shipm.,88.00 EUR / shipm.,,
CH00-EG-HR-10-,CH,HR,Croatia,10,76.45 GBP / shipm.,169.01 GBP / 100kg,119.83 GBP / 100kg,61.65 GBP / 100kg,31.98 GBP / 100kg,22.64 GBP / 100kg,23.03 GBP / 100kg,17.44 GBP / 100kg,15.90 GBP / 100kg,16.29 GBP / 100kg,"3,294.30 GBP / shipm.",81.00 EUR / shipm.,88.00 EUR / shipm.,,
CH01-EG-LV-10-,CH,LV,Latvia,10,272.44 GBP / shipm.,755.48 GBP / 100kg,402.23 GBP / 100kg,210.17 GBP / 100kg,119.54 GBP / 100kg,81.05 GBP / 100kg,73.19 GBP / 100kg,52.25 GBP / 100kg,47.84 GBP / 100kg,47.12 GBP / 100kg,"8,831.76 GBP / shipm.",91.00 EUR / shipm.,77.00 EUR / shipm.,,
FR01-EG-ES-28-,FR01/FRB1,ES,Spain,28,131.32 GBP / shipm.,403.37 GBP / 100kg,163.27 GBP / 100kg,86.24 GBP / 100kg,64.29 GBP / 100kg,44.10 GBP / 100kg,35.48 GBP / 100kg,25.09 GBP / 100kg,16.46 GBP / 100kg,12.35 GBP / 100kg,"2,377.48 GBP / shipm.",51.00 EUR / shipm.,0.00 EUR / shipm.,,
FR01-EG-FR-64-,FR01/FRB1,FR,France,64,58.52 GBP / shipm.,263.80 GBP / 100kg,103.95 GBP / 100kg,75.92 GBP / 100kg,72.07 GBP / 100kg,67.76 GBP / 100kg,56.21 GBP / 100kg,30.49 GBP / 100kg,11.24 GBP / 100kg,7.70 GBP / 100kg,"1,740.20 GBP / shipm.",50.00 EUR / shipm.,0.00 EUR / shipm.,,
CH01-EG-HU-90-,CH,HU,Hungary,90,69.60 GBP / shipm.,158.27 GBP / 100kg,100.63 GBP / 100kg,55.29 GBP / 100kg,28.57 GBP / 100kg,21.85 GBP / 100kg,21.47 GBP / 100kg,13.37 GBP / 100kg,12.43 GBP / 100kg,14.24 GBP / 100kg,"2,929.00 GBP / shipm.",41.00 EUR / shipm.,36.00 EUR / shipm.,,
CH01-EG-HU-84-,CH,HU,Hungary,84,40.32 GBP / shipm.,91.69 GBP / 100kg,58.30 GBP / 100kg,32.03 GBP / 100kg,16.55 GBP / 100kg,12.66 GBP / 100kg,12.44 GBP / 100kg,7.74 GBP / 100kg,6.30 GBP / 100kg,8.25 GBP / 100kg,"1,696.80 GBP / shipm.",41.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-NL-36-,CH,NL,Netherlands,36,19.95 GBP / shipm.,91.59 GBP / 100kg,48.16 GBP / 100kg,34.04 GBP / 100kg,15.51 GBP / 100kg,8.91 GBP / 100kg,7.26 GBP / 100kg,10.56 GBP / 100kg,11.43 GBP / 100kg,9.12 GBP / 100kg,"1,770.30 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-DE-06-,CH,DE,Germany,06,15.60 GBP / shipm.,79.21 GBP / 100kg,71.77 GBP / 100kg,44.68 GBP / 100kg,34.57 GBP / 100kg,23.35 GBP / 100kg,18.01 GBP / 100kg,14.80 GBP / 100kg,12.12 GBP / 100kg,10.45 GBP / 100kg,"1,887.60 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-FR-04-,CH,FR,France,04,27.37 GBP / shipm.,135.16 GBP / 100kg,58.60 GBP / 100kg,42.98 GBP / 100kg,40.81 GBP / 100kg,38.37 GBP / 100kg,31.83 GBP / 100kg,17.30 GBP / 100kg,6.41 GBP / 100kg,4.40 GBP / 100kg,"1,372.07 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-IT-27-,CH,IT,Italy,27,38.25 GBP / shipm.,155.91 GBP / 100kg,78.52 GBP / 100kg,22.72 GBP / 100kg,16.42 GBP / 100kg,11.52 GBP / 100kg,11.74 GBP / 100kg,14.27 GBP / 100kg,17.01 GBP / 100kg,15.71 GBP / 100kg,"2,348.55 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-44-,CH,FR,France,44,32.89 GBP / shipm.,162.42 GBP / 100kg,70.41 GBP / 100kg,51.65 GBP / 100kg,49.03 GBP / 100kg,46.10 GBP / 100kg,38.25 GBP / 100kg,20.79 GBP / 100kg,7.71 GBP / 100kg,5.29 GBP / 100kg,"1,648.79 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-BE-23-,CH,BE,Belgium,23,16.20 GBP / shipm.,84.85 GBP / 100kg,32.70 GBP / 100kg,22.43 GBP / 100kg,11.24 GBP / 100kg,6.58 GBP / 100kg,6.56 GBP / 100kg,7.41 GBP / 100kg,6.82 GBP / 100kg,6.41 GBP / 100kg,"1,033.80 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH00-EG-IT-16-,CH,IT,Italy,16,31.00 GBP / shipm.,126.36 GBP / 100kg,63.64 GBP / 100kg,18.41 GBP / 100kg,13.31 GBP / 100kg,9.34 GBP / 100kg,9.51 GBP / 100kg,11.57 GBP / 100kg,13.79 GBP / 100kg,12.73 GBP / 100kg,"1,903.40 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-41-,CH,IT,Italy,41,13.75 GBP / shipm.,56.05 GBP / 100kg,28.23 GBP / 100kg,8.17 GBP / 100kg,5.90 GBP / 100kg,4.14 GBP / 100kg,4.22 GBP / 100kg,5.13 GBP / 100kg,6.12 GBP / 100kg,5.65 GBP / 100kg,844.25 GBP / shipm.,51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-ES-24-,CH,ES,Spain,24,102.82 GBP / shipm.,290.13 GBP / 100kg,127.48 GBP / 100kg,59.34 GBP / 100kg,38.20 GBP / 100kg,19.07 GBP / 100kg,14.69 GBP / 100kg,14.05 GBP / 100kg,12.69 GBP / 100kg,9.82 GBP / 100kg,"2,405.60 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-BE-51-,CH,BE,Belgium,51,48.87 GBP / shipm.,255.97 GBP / 100kg,98.65 GBP / 100kg,67.66 GBP / 100kg,33.90 GBP / 100kg,19.86 GBP / 100kg,19.78 GBP / 100kg,22.35 GBP / 100kg,20.58 GBP / 100kg,19.35 GBP / 100kg,"3,118.63 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH01-EG-FR-19-,CH,FR,France,19,36.11 GBP / shipm.,178.32 GBP / 100kg,77.31 GBP / 100kg,56.71 GBP / 100kg,53.84 GBP / 100kg,50.62 GBP / 100kg,42.00 GBP / 100kg,22.83 GBP / 100kg,8.46 GBP / 100kg,5.81 GBP / 100kg,"1,810.21 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
